NUM_EXECUCAO;NUM_INPUTS;NUM_OUTPUTS;NUM_NODES;POPULATION_SIZE;MAX_GENS;FINAL_FITNESS;GENERATIONS;NUM_ACTIVE_CONNECTIONS;NUM_ACTIVE_NODES;TIME;MUTATION
1;6;1;4;5;1000;32;1000;0;0;0.014415;0.000000
1;6;1;4;10;1000;32;1000;4;2;0.067297;0.000000
1;6;1;4;15;1000;32;1000;0;0;0.038715;0.000000
1;6;1;4;20;1000;32;1000;2;1;0.076444;0.000000
1;6;1;4;25;1000;32;1000;2;1;0.097698;0.000000
1;6;1;4;5;1000;32;1000;2;1;0.016817;0.050000
1;6;1;4;10;1000;32;1000;2;1;0.031860;0.050000
1;6;1;4;15;1000;32;1000;0;0;0.042063;0.050000
1;6;1;4;20;1000;32;1000;0;0;0.072219;0.050000
1;6;1;4;25;1000;32;1000;0;0;0.081921;0.050000
1;6;1;4;5;1000;32;1000;1;1;0.016822;0.100000
1;6;1;4;10;1000;32;1000;0;0;0.032974;0.100000
